"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Blocked Shots","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Getafe","away","loss","[{""time"":11,""event"":""foul""},{""time"":17,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.32","52%","10","4","1","7","3","3","0","18","24","27","1","1"
"Real Sociedad","home","win","[{""time"":3,""event"":""goal""}]","0.53","60%","10","5","3","0","4","1","0","17","17","11","3",
"Valencia","away","loss","[{""time"":29,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.83","40%","7","3","3","2","3","1","5","11","25","13","4",
"Almeria","home","loss","[]","0.79","34%","12","3","4","0","7","2","5","11","15","10","5",
"Barcelona","away","win","[{""time"":14,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":85,""event"":""foul""}]","1.59","66%","16","7","8","1","7","2","1","14","19","11","3",
"Las Palmas","home","draw","[{""time"":5,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":70,""event"":""foul""}]","2.12","57%","16","9","4","2","4","3","6","21","26","9","2",
"Betis","away","draw","[{""time"":20,""event"":""foul""},{""time"":21,""event"":""goal""},{""time"":26,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":49,""event"":""goal""}]","1.13","43%","6","4","8","1","0","2","7","16","19","12","7",
"Celta Vigo","home","win","[{""time"":68,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.77","53%","10","4","2","2","3","3","3","15","25","15","1",
"Ath Bilbao","away","loss","[{""time"":23,""event"":""goal""},{""time"":62,""event"":""foul""}]","0.21","47%","7","2","3","0","3","2","0","18","22","14","2",
"Getafe","home","loss","[{""time"":14,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.66","45%","8","3","6","4","2","3","1","14","18","17","0",
"Atl. Madrid","away","win","[{""time"":17,""event"":""foul""},{""time"":27,""event"":""goal""},{""time"":42,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.43","55%","7","3","3","3","2","2","6","15","13","7","3",
"Rayo Vallecano","home","win","[{""time"":5,""event"":""foul""},{""time"":23,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":95,""event"":""foul""}]","2.32","31%","18","9","6","4","5","4","3","19","34","12","0","1"
"Granada CF","away","loss","[{""time"":42,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":89,""event"":""goal""},{""time"":90,""event"":""foul""}]","0.85","69%","10","1","6","3","4","5","2","16","24","17","7","0"
"Sevilla","home","loss","[{""time"":47,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.59","54%","14","3","1","6","8","3","0","13","19","13","6",
"Cadiz CF","away","win","[{""time"":50,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":96,""event"":""goal""}]","2.59","46%","19","7","9","2","8","4","2","13","20","11","3",
"Girona","home","loss","[{""time"":36,""event"":""foul""}]","1.42","66%","22","5","5","1","15","2","1","14","18","3","2","0"
"Villarreal","away","win","[{""time"":41,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":93,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.68","34%","11","3","1","5","5","3","0","4","7","14","5","1"
"Real Madrid","home","win","[{""time"":10,""event"":""goal""},{""time"":27,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":81,""event"":""goal""}]","2.28","72%","22","11","4","1","5","6","0","14","21","6","10",
"Alaves","away","loss","[{""time"":50,""event"":""foul""}]","1.28","28%","18","10","1","1","5","3","2","6","13","12","6",
"Osasuna","home","draw","[{""time"":14,""event"":""goal""}]","0.40","52%","10","4","2","0","5","1","1","14","35","12","3",
"Mallorca","away","draw","[{""time"":35,""event"":""foul""},{""time"":65,""event"":""goal""}]","0.79","48%","10","4","4","1","4","2","3","13","25","11","3",
"Barcelona","home","win","[{""time"":40,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":93,""event"":""goal""},{""time"":94,""event"":""foul""}]","2.33","57%","14","5","6","2","5","4","1","13","14","12","3",
"Real Sociedad","away","loss","[{""time"":57,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.73","43%","10","3","2","3","5","2","2","12","15","14","3",
"Betis","home","win","[{""time"":8,""event"":""goal""},{""time"":28,""event"":""goal""},{""time"":64,""event"":""goal""}]","0.64","47%","14","7","3","0","2","5","2","11","24","9","5",
"Almeria","away","loss","[{""time"":40,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":69,""event"":""foul""}]","1.22","53%","14","7","5","2","6","1","1","10","18","10","4",
"Valencia","home","draw","[{""time"":58,""event"":""foul""}]","1.29","50%","13","5","6","1","3","5","5","19","15","14","1",
"Rayo Vallecano","away","draw","[{""time"":32,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.64","50%","12","1","3","2","7","4","3","15","14","21","5",
"Atl. Madrid","home","win","[{""time"":72,""event"":""foul""},{""time"":84,""event"":""goal""}]","1.68","56%","21","8","4","1","6","7","4","8","12","7","2",
"Celta Vigo","away","loss","[{""time"":36,""event"":""foul""}]","0.53","44%","6","2","7","1","3","1","0","12","13","9","7",
"Cadiz CF","home","win","[{""time"":35,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.45","45%","13","6","6","5","6","1","2","14","22","23","4",
"Getafe","away","loss","[{""time"":34,""event"":""foul""},{""time"":57,""event"":""foul""}]","0.41","55%","10","4","2","2","5","1","1","23","20","16","5",
"Ath Bilbao","home","draw","[{""time"":22,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":58,""event"":""goal""},{""time"":96,""event"":""goal""}]","1.12","67%","15","6","8","2","3","6","3","15","16","9","1",
"Osasuna","away","draw","[{""time"":34,""event"":""foul""},{""time"":40,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.14","33%","13","3","6","4","5","5","2","12","6","14","4",
"Granada CF","home","loss","[{""time"":25,""event"":""foul""},{""time"":45,""event"":""foul""}]","0.69","42%","12","1","8","2","5","6","3","11","15","11","3",
"Real Madrid","away","win","[{""time"":38,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":58,""event"":""goal""}]","1.90","58%","13","7","5","0","1","5","0","13","15","10","1",
"Villarreal","home","win","[{""time"":30,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":97,""event"":""goal""}]","3.67","59%","25","7","10","3","11","7","6","15","15","12","2",
"Sevilla","away","loss","[{""time"":17,""event"":""foul""},{""time"":26,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.90","41%","8","4","1","5","2","2","1","19","11","14","4",
"Mallorca","home","win","[{""time"":14,""event"":""foul""},{""time"":29,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.40","44%","7","2","2","6","2","3","2","13","21","18","1",
"Las Palmas","away","loss","[{""time"":58,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.35","56%","7","1","2","2","5","1","3","19","22","10","1",
