"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Blocked Shots","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"Las Palmas","home","draw","[{""time"":49,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.68","72%","9","3","6","2","4","2","2","19","17","6","1",
"Osasuna","away","draw","[{""time"":45,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.70","28%","6","2","7","1","4","0","3","9","25","15","2",
"Betis","home","win","[{""time"":13,""event"":""goal""},{""time"":30,""event"":""foul""},{""time"":38,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":72,""event"":""foul""}]","1.16","58%","13","5","5","1","6","2","2","14","15","14","0","0"
"Ath Bilbao","away","loss","[{""time"":32,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":59,""event"":""foul""}]","0.16","42%","3","1","3","6","1","1","2","16","30","12","2","1"
"Cadiz CF","home","draw","[{""time"":66,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":100,""event"":""goal""}]","2.54","66%","19","6","9","2","9","4","3","22","24","13","1",
"Celta Vigo","away","draw","[{""time"":11,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":58,""event"":""goal""},{""time"":76,""event"":""foul""}]","0.65","34%","7","3","1","3","2","2","2","14","16","20","4",
"Almeria","home","draw","[{""time"":27,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":93,""event"":""foul""}]","0.39","40%","9","4","2","1","3","2","1","14","23","13","7",
"Atl. Madrid","away","draw","[{""time"":2,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":57,""event"":""goal""}]","1.34","60%","18","9","7","1","5","4","2","14","26","12","2",
"Alaves","home","draw","[{""time"":76,""event"":""goal""},{""time"":91,""event"":""foul""}]","0.56","52%","9","1","3","0","6","2","2","15","19","7","7",
"Mallorca","away","draw","[{""time"":54,""event"":""foul""},{""time"":88,""event"":""goal""},{""time"":96,""event"":""foul""}]","2.20","48%","15","8","3","2","5","2","0","9","21","15","0",
"Barcelona","home","win","[{""time"":20,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":91,""event"":""goal""}]","2.53","68%","17","9","5","1","4","4","5","19","16","12","4",
"Getafe","away","loss","[{""time"":37,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.54","32%","10","4","8","4","4","2","4","21","13","18","5",
"Real Sociedad","home","loss","[{""time"":7,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":86,""event"":""goal""}]","1.70","70%","21","8","13","3","10","3","4","15","28","15","1",
"Villarreal","away","win","[{""time"":17,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":95,""event"":""goal""}]","1.07","30%","6","4","2","4","2","0","1","19","17","14","7",
"Ath Bilbao","home","win","[{""time"":2,""event"":""goal""},{""time"":25,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":60,""event"":""goal""}]","1.86","31%","14","7","3","1","4","3","2","18","13","16","4",
"Girona","away","loss","[{""time"":20,""event"":""foul""},{""time"":25,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":75,""event"":""goal""}]","2.18","69%","12","6","4","2","5","1","3","18","19","13","4",
"Betis","home","draw","[{""time"":31,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":82,""event"":""foul""}]","0.86","62%","13","2","6","5","6","5","1","9","36","13","4",
"Alaves","away","draw","[{""time"":37,""event"":""foul""},{""time"":72,""event"":""foul""}]","0.33","38%","13","4","8","2","7","2","1","14","24","9","2",
"Mallorca","home","loss","[{""time"":4,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":96,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":97,""event"":""foul""}]","0.15","32%","4","1","3","7","2","1","2","21","24","12","3","1"
"Real Sociedad","away","win","[{""time"":38,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":93,""event"":""goal""},{""time"":96,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.17","68%","19","5","9","5","9","5","2","19","27","18","0","0"
"Granada CF","home","draw","[{""time"":4,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":75,""event"":""goal""}]","1.52","59%","19","7","10","2","8","4","0","24","16","13","2",
"Almeria","away","draw","[{""time"":9,""event"":""goal""},{""time"":14,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":98,""event"":""foul""}]","0.94","41%","13","3","4","3","6","4","3","15","16","22","6",
"Rayo Vallecano","home","draw","[{""time"":27,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":82,""event"":""foul""}]","1.23","40%","8","3","4","4","1","4","4","6","13","17","3","0"
"Real Madrid","away","draw","[{""time"":3,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.99","60%","11","4","10","3","4","3","2","14","4","7","2","1"
"Valencia","home","draw","[]","1.16","53%","14","4","7","0","6","4","3","8","33","5","1",
"Sevilla","away","draw","[{""time"":78,""event"":""foul""}]","0.03","47%","1","1","2","1","0","0","1","8","24","8","4",
"Celta Vigo","home","loss","[{""time"":15,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.69","34%","13","4","2","2","4","5","4","14","10","11","2",
"Barcelona","away","win","[{""time"":38,""event"":""foul""},{""time"":45,""event"":""goal""},{""time"":94,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":97,""event"":""goal""},{""time"":100,""event"":""foul""}]","1.70","66%","14","4","5","4","4","6","1","15","15","13","3",
"Osasuna","home","win","[{""time"":26,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":91,""event"":""goal""}]","1.40","56%","11","4","5","4","7","0","1","10","14","20","1",
"Cadiz CF","away","loss","[{""time"":24,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":76,""event"":""foul""}]","0.52","44%","5","1","4","2","3","1","5","13","14","12","2",
"Atl. Madrid","home","win","[{""time"":15,""event"":""goal""},{""time"":20,""event"":""goal""},{""time"":28,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":62,""event"":""goal""},{""time"":87,""event"":""goal""}]","2.38","35%","13","7","3","2","5","1","4","10","18","19","2",
"Las Palmas","away","loss","[{""time"":4,""event"":""foul""},{""time"":61,""event"":""foul""}]","0.52","65%","11","2","5","2","6","3","0","28","14","9","2",
"Villarreal","home","draw","[{""time"":56,""event"":""goal""}]","1.24","56%","20","7","8","0","5","8","6","12","19","13","1",
"Getafe","away","draw","[{""time"":24,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":38,""event"":""foul""}]","0.83","44%","11","2","3","1","5","4","2","19","23","13","6",
"Almeria","home","draw","[{""time"":27,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.54","39%","10","4","4","4","3","3","2","18","16","17","4","1"
"Ath Bilbao","away","draw","[{""time"":84,""event"":""foul""}]","0.61","61%","12","4","10","1","4","4","3","19","28","15","4","0"
"Barcelona","home","draw","[{""time"":14,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":65,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":80,""event"":""goal""}]","2.45","66%","11","6","6","1","4","1","3","9","23","13","2",
"Granada CF","away","draw","[{""time"":33,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":60,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":78,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.40","34%","11","5","2","3","2","4","1","15","24","9","3",
"Sevilla","home","win","[{""time"":15,""event"":""goal""},{""time"":70,""event"":""foul""},{""time"":77,""event"":""foul""}]","1.55","40%","10","6","2","2","2","2","2","10","9","8","5",
"Atl. Madrid","away","loss","[{""time"":26,""event"":""foul""},{""time"":46,""event"":""foul""}]","1.46","60%","16","5","8","1","7","4","4","12","24","5","5",
"Mallorca","home","win","[{""time"":1,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":91,""event"":""goal""},{""time"":95,""event"":""foul""}]","1.06","49%","8","5","5","4","2","1","2","12","19","17","3",
"Rayo Vallecano","away","loss","[{""time"":76,""event"":""goal""},{""time"":87,""event"":""foul""}]","1.56","51%","11","4","1","0","5","2","1","19","26","11","3",
"Getafe","home","win","[{""time"":41,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":89,""event"":""goal""}]","1.94","48%","11","4","0","1","4","3","3","14","28","16","2",
"Celta Vigo","away","loss","[{""time"":50,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":85,""event"":""goal""}]","1.21","52%","9","4","4","2","3","2","2","18","31","13","1",
"Las Palmas","home","win","[{""time"":48,""event"":""foul""},{""time"":89,""event"":""goal""},{""time"":95,""event"":""goal""},{""time"":96,""event"":""foul""}]","1.26","73%","8","3","5","2","3","2","1","16","30","9","1",
"Valencia","away","loss","[]","0.43","27%","7","1","0","0","6","0","4","11","24","9","1",
"Real Madrid","home","win","[{""time"":6,""event"":""goal""},{""time"":35,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":61,""event"":""goal""},{""time"":76,""event"":""foul""},{""time"":90,""event"":""foul""}]","2.96","53%","16","6","0","1","9","1","0","11","11","9","0",
"Girona","away","loss","[{""time"":21,""event"":""foul""},{""time"":68,""event"":""foul""}]","0.11","47%","5","0","2","2","3","2","0","9","15","12","2",
"Real Sociedad","home","loss","[]","1.50","68%","21","3","7",,"8","10","1","10","17","11","1",
"Osasuna","away","win","[{""time"":49,""event"":""goal""}]","0.51","32%","9","2","4",,"0","7","2","9","17","11","3",
"Alaves","home","draw","[{""time"":15,""event"":""foul""},{""time"":25,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":92,""event"":""foul""}]","2.05","50%","17","4","10","0","8","5","2","12","22","7","3",
"Villarreal","away","draw","[{""time"":42,""event"":""goal""},{""time"":44,""event"":""foul""},{""time"":71,""event"":""foul""}]","1.08","50%","12","4","9","2","4","4","1","9","16","11","3",
"Cadiz CF","home","loss","[{""time"":52,""event"":""foul""}]","0.68","52%","14","5","5","1","4","5","2","9","15","12","3",
"Betis","away","win","[{""time"":6,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":65,""event"":""foul""}]","1.21","48%","13","5","3","1","5","3","0","12","13","10","5",
"Rayo Vallecano","home","loss","[{""time"":29,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.87","67%","22","5","6","2","9","8","2","12","35","8","4",
"Sevilla","away","win","[{""time"":19,""event"":""goal""},{""time"":36,""event"":""foul""},{""time"":45,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":85,""event"":""foul""}]","1.13","33%","10","6","0","3","4","0","2","10","30","10","4",
"Real Madrid","home","draw","[{""time"":20,""event"":""goal""}]","1.62","54%","17","4","2","0","7","6","2","16","20","6","4",
"Atl. Madrid","away","draw","[{""time"":37,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":93,""event"":""goal""},{""time"":95,""event"":""foul""}]","1.12","46%","10","5","8","4","3","2","1","9","21","15","3",
"Betis","home","draw","[{""time"":13,""event"":""foul""},{""time"":19,""event"":""foul""},{""time"":35,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":89,""event"":""foul""}]","1.55","55%","9","3","3","7","3","3","4","23","20","9","1",
"Getafe","away","draw","[{""time"":8,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":80,""event"":""foul""}]","1.55","45%","11","2","5","4","4","5","7","14","24","19","2",
"Osasuna","home","loss","[{""time"":12,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.17","70%","18","1","9","2","12","5","0","10","32","10","2",
"Celta Vigo","away","win","[{""time"":24,""event"":""goal""},{""time"":25,""event"":""goal""},{""time"":90,""event"":""goal""}]","1.17","30%","6","5","1","0","1","0","2","10","8","10","1",
"Villarreal","home","draw","[{""time"":47,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.98","60%","19","4","13","3","11","4","3","17","12","14","2",
"Cadiz CF","away","draw","[{""time"":69,""event"":""foul""}]","0.77","40%","8","2","2","1","5","1","2","17","18","14","4",
"Girona","home","draw","[{""time"":24,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":97,""event"":""foul""}]","0.40","48%","11","3","3","2","3","5","4","22","20","8","2",
"Real Sociedad","away","draw","[{""time"":3,""event"":""foul""},{""time"":21,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":64,""event"":""foul""}]","0.53","52%","11","2","4","3","5","4","2","11","17","19","3",
"Alaves","home","loss","[{""time"":12,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":97,""event"":""foul""}]","0.66","36%","13","2","14","2","9","2","3","11","15","15","2","0"
"Barcelona","away","win","[{""time"":22,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":72,""event"":""foul""}]","1.09","64%","8","5","5","2","1","2","1","18","14","10","1","1"
"Granada CF","home","draw","[{""time"":21,""event"":""foul""},{""time"":21,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":50,""event"":""foul""}]","0.10","22%","3","1","2","4","1","1","4","16","6","6","5","1"
"Las Palmas","away","draw","[{""time"":42,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.96","78%","16","6","9","3","8","2","1","10","16","16","0","1"
"Valencia","home","win","[{""time"":14,""event"":""goal""},{""time"":23,""event"":""goal""},{""time"":24,""event"":""foul""},{""time"":25,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":73,""event"":""foul""}]","1.32","48%","7","2","0","4","2","3","2","15","30","17","4",
"Almeria","away","loss","[{""time"":50,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.29","52%","15","5","6","5","4","6","1","17","24","16","0",
"Ath Bilbao","home","win","[{""time"":3,""event"":""goal""},{""time"":16,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":89,""event"":""goal""}]","2.10","62%","13","6","6","0","3","4","1","21","22","17","2",
"Mallorca","away","loss","[{""time"":75,""event"":""foul""}]","0.37","38%","6","2","2","1","4","0","5","18","12","15","2",
"Getafe","home","loss","[{""time"":26,""event"":""foul""}]","0.80","42%","10","2","2","1","7","1","1","9","21","16","7",
"Real Madrid","away","win","[{""time"":14,""event"":""goal""},{""time"":30,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.92","58%","16","9","6","2","5","2","4","18","11","5","2",
"Atl. Madrid","home","win","[{""time"":35,""event"":""goal""},{""time"":81,""event"":""foul""},{""time"":90,""event"":""goal""},{""time"":92,""event"":""foul""}]","0.69","54%","8","3","5","0","2","3","7","12","22","11","1",
"Rayo Vallecano","away","loss","[{""time"":38,""event"":""foul""},{""time"":42,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.41","46%","10","2","6","3","3","5","0","16","20","13","1",
"Barcelona","home","win","[{""time"":7,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":63,""event"":""goal""}]","2.06","67%","16","4","6","1","6","6","4","14","21","9","1","0"
"Osasuna","away","loss","[{""time"":16,""event"":""foul""},{""time"":67,""event"":""foul""}]","0.95","33%","9","1","6","2","6","2","2","13","10","12","3","1"
"Getafe","home","win","[{""time"":13,""event"":""foul""},{""time"":21,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":81,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.27","39%","7","4","4","2","0","3","4","17","23","17","3",
"Granada CF","away","loss","[{""time"":59,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.58","61%","16","3","3","1","8","5","5","20","17","11","2",
"Atl. Madrid","home","win","[{""time"":50,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":57,""event"":""goal""},{""time"":83,""event"":""foul""}]","2.58","54%","12","8","3","2","3","1","1","11","19","9","3",
"Valencia","away","loss","[]","0.51","46%","10","3","6","0","4","3","2","9","20","9","6",
"Sevilla","home","draw","[{""time"":6,""event"":""foul""},{""time"":24,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":86,""event"":""foul""}]","0.69","44%","10","5","2","3","4","1","5","15","22","19","3","1"
"Osasuna","away","draw","[{""time"":55,""event"":""goal""}]","1.48","56%","11","4","4","0","5","2","2","22","32","13","4","0"
"Cadiz CF","home","draw","[{""time"":47,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.30","42%","9","2","6","4","6","1","2","15","25","13","0",
"Ath Bilbao","away","draw","[{""time"":22,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":62,""event"":""foul""}]","0.20","58%","8","0","8","2","4","4","0","15","22","14","2",
"Celta Vigo","home","loss","[{""time"":71,""event"":""foul""}]","0.75","40%","10","5","5","1","4","1","1","11","19","13","5",
"Girona","away","win","[{""time"":20,""event"":""goal""},{""time"":50,""event"":""foul""}]","1.07","60%","15","6","7","1","5","4","1","12","21","11","5",
"Mallorca","home","loss","[{""time"":36,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.46","53%","14","1","5","2","10","3","2","6","19","14","1",
"Betis","away","win","[{""time"":46,""event"":""goal""},{""time"":79,""event"":""foul""}]","0.37","47%","8","2","4","1","2","4","0","14","18","6","1",
"Barcelona","home","loss","[{""time"":33,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":68,""event"":""goal""},{""time"":68,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":89,""event"":""foul""}]","1.96","71%","22","10","10","3","5","7","0","12","13","8","1",
"Villarreal","away","win","[{""time"":16,""event"":""foul""},{""time"":18,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":41,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":58,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":84,""event"":""goal""},{""time"":89,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":99,""event"":""goal""},{""time"":102,""event"":""goal""}]","2.01","29%","9","6","0","4","0","3","3","7","11","13","7",
"Las Palmas","home","loss","[{""time"":53,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.60","53%","7","2","1","3","4","1","0","13","13","17","3",
"Real Madrid","away","win","[{""time"":5,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":84,""event"":""goal""},{""time"":97,""event"":""foul""},{""time"":99,""event"":""foul""}]","2.13","47%","13","5","6","3","5","3","3","14","13","14","1",
"Real Sociedad","home","draw","[{""time"":29,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.21","52%","6","3","2","2","3","0","7","17","20","16","0",
"Rayo Vallecano","away","draw","[{""time"":7,""event"":""foul""},{""time"":19,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.11","48%","5","0","2","4","2","3","1","24","36","14","3",
"Almeria","home","loss","[{""time"":47,""event"":""foul""}]","1.47","64%","19","7","11","1","10","2","3","16","19","17","0",
"Alaves","away","win","[{""time"":3,""event"":""foul""},{""time"":10,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":88,""event"":""goal""}]","1.92","36%","11","3","3","2","4","4","3","19","16","12","7",
"Granada CF","home","loss","[{""time"":75,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.63","53%","17","2","6","2","9","6","0","20","20","11","4",
"Atl. Madrid","away","win","[{""time"":54,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":75,""event"":""foul""}]","1.30","47%","10","5","2","2","4","1","6","10","14","16","2",
"Girona","home","win","[{""time"":13,""event"":""goal""},{""time"":15,""event"":""goal""},{""time"":19,""event"":""goal""},{""time"":30,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":89,""event"":""goal""}]","2.69","55%","12","8","4","0","3","1","1","10","7","9","2",
"Sevilla","away","loss","[{""time"":10,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":63,""event"":""foul""}]","0.72","45%","9","3","5","2","3","3","1","7","18","11","3",
"Betis","home","loss","[{""time"":56,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":72,""event"":""foul""}]","1.35","36%","14","5","3","1","6","3","4","15","20","12","0",
"Barcelona","away","win","[{""time"":21,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":90,""event"":""goal""},{""time"":92,""event"":""goal""},{""time"":96,""event"":""foul""}]","2.65","64%","11","4","4","2","5","2","6","16","19","9","3",
"Real Madrid","home","win","[{""time"":57,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":98,""event"":""foul""},{""time"":99,""event"":""goal""},{""time"":100,""event"":""foul""},{""time"":101,""event"":""foul""}]","2.42","74%","18","6","6","3","8","4","5","19","27","9","0",
"Almeria","away","loss","[{""time"":1,""event"":""goal""},{""time"":43,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":64,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":101,""event"":""foul""}]","0.91","26%","10","2","3","5","4","4","1","13","14","17","3",
"Osasuna","home","win","[{""time"":9,""event"":""goal""},{""time"":26,""event"":""foul""},{""time"":29,""event"":""foul""},{""time"":31,""event"":""goal""},{""time"":76,""event"":""foul""},{""time"":80,""event"":""goal""},{""time"":89,""event"":""foul""}]","0.98","42%","13","7","1","4","5","1","7","20","19","14","5",
"Getafe","away","loss","[{""time"":39,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":68,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.21","58%","10","7","4","4","0","3","6","21","17","16","4",
"Celta Vigo","home","loss","[{""time"":15,""event"":""foul""}]","0.26","48%","6","2","6","1","3","1","1","19","32","12","1",
"Real Sociedad","away","win","[{""time"":11,""event"":""goal""},{""time"":30,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":84,""event"":""foul""}]","0.86","52%","6","2","3","2","2","2","1","16","31","18","2",
"Valencia","home","win","[{""time"":61,""event"":""goal""}]","0.89","39%","6","1","4","0","4","1","4","11","17","11","3",
"Ath Bilbao","away","loss","[{""time"":56,""event"":""foul""},{""time"":89,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.40","61%","6","3","2","3","2","1","0","14","27","14","0",
"Villarreal","home","draw","[{""time"":44,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":82,""event"":""foul""}]","2.03","51%","18","5","4","2","6","7","0","13","25","13","1","1"
"Mallorca","away","draw","[{""time"":27,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":91,""event"":""goal""}]","0.44","49%","8","2","6","2","2","4","2","13","16","11","4","0"
"Rayo Vallecano","home","loss","[{""time"":17,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":81,""event"":""foul""}]","1.63","43%","16","3","12","3","10","3","9","13","30","19","3","1"
"Las Palmas","away","win","[{""time"":35,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":83,""event"":""goal""}]","0.66","57%","10","5","0","1","3","2","5","28","13","8","3","0"
"Alaves","home","win","[{""time"":51,""event"":""goal""},{""time"":75,""event"":""foul""}]","1.45","48%","13","3","4","0","6","4","1","18","29","15","1",
"Cadiz CF","away","loss","[{""time"":22,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":68,""event"":""foul""}]","0.38","52%","9","1","4","4","6","2","1","16","19","18","2",
"Cadiz CF","home","loss","[{""time"":15,""event"":""foul""},{""time"":21,""event"":""goal""},{""time"":30,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.14","57%","10","2","3","4","6","2","3","18","23","15","1",
"Valencia","away","win","[{""time"":8,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":94,""event"":""goal""},{""time"":98,""event"":""goal""}]","1.30","43%","9","5","1","2","2","2","3","18","26","15","1",
"Almeria","home","draw","[{""time"":21,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":84,""event"":""foul""}]","1.95","46%","20","3","4","4","9","8","0","9","16","13","1","0"
"Girona","away","draw","[{""time"":34,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":97,""event"":""foul""}]","0.20","54%","5","1","3","4","1","3","1","13","19","8","3","1"
"Betis","home","win","[{""time"":19,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":76,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.72","57%","25","6","13","3","6","13","1","21","27","11","2",
