"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"FC Koln","home","draw","[{""time"":34,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.51","55%","7","3","1","2","4","0","10","27","10","5",
"Mainz","away","draw","[{""time"":58,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":87,""event"":""foul""}]","2.14","45%","13","5","7","4","8","1","10","22","10","3",
"Stuttgart","home","draw","[{""time"":40,""event"":""goal""},{""time"":65,""event"":""foul""}]","3.10","55%","22","12","8","1","10","0","10","16","8","5",
"Bayer Leverkusen","away","draw","[{""time"":6,""event"":""foul""},{""time"":47,""event"":""goal""}]","3.22","45%","20","6","8","1","14","3","8","20","7","11",
"Dortmund","home","loss","[{""time"":15,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":93,""event"":""goal""}]","2.05","56%","18","6","6","1","12","1","14","16","6","5","1"
"RB Leipzig","away","win","[{""time"":32,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":66,""event"":""foul""},{""time"":91,""event"":""goal""}]","2.70","44%","24","8","6","3","16","4","7","15","11","4","0"
"Eintracht Frankfurt","home","win","[{""time"":12,""event"":""goal""},{""time"":31,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":67,""event"":""foul""}]","1.61","38%","14","6","1","1","8","0","8","14","8","5",
"Bayern Munich","away","loss","[{""time"":23,""event"":""foul""},{""time"":44,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":71,""event"":""foul""}]","1.97","62%","17","6","9","2","11","2","9","9","7","1",
"Heidenheim","home","win","[{""time"":42,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":69,""event"":""goal""},{""time"":71,""event"":""goal""}]","1.88","48%","16","7","8","2","9","1","13","25","17","5",
"Darmstadt","away","loss","[{""time"":52,""event"":""goal""},{""time"":60,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":82,""event"":""foul""}]","1.25","52%","20","7","3","2","13","1","18","24","13","4",
"Union Berlin","home","win","[{""time"":24,""event"":""goal""},{""time"":29,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":75,""event"":""goal""}]","2.83","44%","16","6","6","1","10","3","8","14","9","3",
"B. Monchengladbach","away","loss","[{""time"":3,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":77,""event"":""goal""}]","1.17","56%","13","4","7","3","9","1","11","22","8","3",
"Werder Bremen","home","win","[{""time"":39,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":78,""event"":""foul""}]","1.17","50%","12","5","5","1","7","2","11","11","13","1",
"Augsburg","away","loss","[{""time"":27,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":80,""event"":""foul""}]","0.65","50%","11","1","2","2","10","2","16","27","9","3",
"Wolfsburg","home","loss","[{""time"":85,""event"":""foul""}]","1.62","55%","10","3","5","1","7","3","17","23","11","0",
"Freiburg","away","win","[{""time"":57,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.26","45%","4","1","3","4","3","2","14","19","16","3",
"Hoffenheim","home","win","[{""time"":32,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":76,""event"":""goal""}]","1.99","43%","18","7","4","3","11","0","13","17","18","4",
"Bochum","away","loss","[{""time"":60,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":90,""event"":""goal""}]","1.57","57%","22","5","5","2","17","1","16","23","11","4",
"Augsburg","home","win","[{""time"":29,""event"":""foul""},{""time"":35,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":76,""event"":""foul""}]","1.75","35%","9","4","2","1","5","7","12","26","9","5",
"Eintracht Frankfurt","away","loss","[{""time"":27,""event"":""foul""},{""time"":78,""event"":""goal""}]","1.09","65%","12","6","4","1","6","2","15","21","10","2",
"Bayer Leverkusen","home","loss","[{""time"":12,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":91,""event"":""foul""}]","2.33","61%","22","6","16","3","16","4","12","22","12","1",
"Dortmund","away","win","[{""time"":5,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.94","39%","6","2","1","2","4","0","17","12","12","5",
"Mainz","home","loss","[{""time"":29,""event"":""foul""}]","2.69","57%","19","6","14","1","13","1","10","26","16","4",
"Freiburg","away","win","[{""time"":24,""event"":""foul""},{""time"":69,""event"":""goal""},{""time"":87,""event"":""foul""}]","1.41","43%","13","5","3","1","8","0","15","22","11","6",
"Stuttgart","home","win","[{""time"":17,""event"":""goal""},{""time"":75,""event"":""goal""},{""time"":86,""event"":""foul""}]","3.91","59%","17","6","6","1","11","4","11","17","7","3",
"Werder Bremen","away","loss","[]","0.68","41%","11","3","7","0","8","1","11","5","9","4",
"B. Monchengladbach","home","win","[{""time"":54,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":58,""event"":""goal""},{""time"":80,""event"":""goal""},{""time"":82,""event"":""foul""}]","1.82","49%","9","3","6","2","6","1","10","19","12","4",
"Hoffenheim","away","loss","[{""time"":50,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":88,""event"":""foul""}]","1.26","51%","17","5","3","2","12","2","13","13","14","1",
"Bochum","home","win","[{""time"":19,""event"":""goal""},{""time"":36,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":86,""event"":""foul""},{""time"":87,""event"":""goal""},{""time"":93,""event"":""foul""}]","2.13","47%","19","9","6","6","10","2","12","31","14","5",
"Wolfsburg","away","loss","[{""time"":21,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":53,""event"":""foul""}]","1.26","53%","15","6","6","2","9","0","14","32","13","6",
"RB Leipzig","home","win","[{""time"":29,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":88,""event"":""foul""}]","4.14","67%","23","8","5","2","15","3","15","18","13","0",
"Heidenheim","away","loss","[{""time"":47,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.29","33%","7","1","3","2","6","0","16","22","16","6",
"Darmstadt","home","loss","[{""time"":23,""event"":""foul""},{""time"":64,""event"":""foul""}]","0.79","45%","11","1","1","1","10","3","17","21","12","5",
"FC Koln","away","win","[{""time"":18,""event"":""foul""},{""time"":60,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":71,""event"":""foul""}]","1.77","55%","11","6","6","3","5","3","16","27","12","1",
"Hoffenheim","home","draw","[{""time"":25,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":32,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":48,""event"":""goal""}]","1.49","56%","15","6","4","4","9","0","15","20","9","5",
"Mainz","away","draw","[{""time"":25,""event"":""foul""},{""time"":29,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":68,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.96","44%","15","6","5","4","9","1","8","18","14","5",
"Heidenheim","home","draw","[{""time"":51,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":77,""event"":""foul""}]","1.01","52%","9","3","6","4","6","4","11","29","14","2",
"Bochum","away","draw","[{""time"":27,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.39","48%","9","2","5","3","7","3","18","22","7","3",
"Eintracht Frankfurt","home","loss","[{""time"":26,""event"":""goal""}]","0.79","56%","14","1","4","0","13","0","10","30","14","3",
"Stuttgart","away","win","[{""time"":1,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":95,""event"":""foul""}]","2.03","44%","11","5","2","1","6","4","13","20","8","0",
"Dortmund","home","win","[{""time"":30,""event"":""goal""},{""time"":32,""event"":""goal""},{""time"":45,""event"":""goal""},{""time"":80,""event"":""foul""},{""time"":97,""event"":""goal""}]","3.09","54%","20","13","5","1","7","1","12","14","11","1",
"B. Monchengladbach","away","loss","[{""time"":13,""event"":""goal""},{""time"":28,""event"":""goal""},{""time"":54,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.05","46%","10","3","4","2","7","1","14","26","11","9",
"Freiburg","home","draw","[{""time"":35,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.86","63%","16","3","11","2","13","2","17","19","15","0",
"Darmstadt","away","draw","[{""time"":18,""event"":""goal""}]","0.48","37%","7","1","2","0","6","1","17","15","15","2",
"Union Berlin","home","draw","[{""time"":37,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":88,""event"":""goal""}]","2.32","56%","16","6","3","2","10","3","17","22","10","1",
"Augsburg","away","draw","[{""time"":23,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.48","44%","11","2","4","2","9","2","13","19","15","5",
"Werder Bremen","home","loss","[{""time"":14,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":54,""event"":""foul""}]","0.31","45%","2","1","1","3","1","5","6","14","15","2",
"Bayer Leverkusen","away","win","[{""time"":9,""event"":""goal""},{""time"":42,""event"":""goal""},{""time"":76,""event"":""goal""},{""time"":76,""event"":""foul""}]","1.11","55%","13","4","6","1","9","2","19","17","4","1",
"Wolfsburg","home","win","[{""time"":9,""event"":""goal""},{""time"":35,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":92,""event"":""foul""}]","0.86","42%","10","4","1","4","6","0","15","13","18","9",
"RB Leipzig","away","loss","[{""time"":33,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":79,""event"":""foul""}]","3.72","58%","26","10","12","2","16","4","17","19","11","2",
"FC Koln","home","loss","[]","0.47","36%","6","2","3","0","4","1","4","22","6","4",
"Bayern Munich","away","win","[{""time"":20,""event"":""goal""},{""time"":52,""event"":""foul""}]","3.13","64%","19","5","12","1","14","1","6","22","4","2",
"RB Leipzig","home","win","[{""time"":6,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":80,""event"":""goal""}]","1.79","60%","15","6","7","2","9","0","15","10","10","2",
"Freiburg","away","loss","[{""time"":51,""event"":""goal""}]","0.58","40%","9","3","3","0","6","4","10","25","12","3",
"Werder Bremen","home","draw","[{""time"":47,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":50,""event"":""goal""}]","1.85","50%","14","5","3","1","9","1","11","16","3","1",
"Eintracht Frankfurt","away","draw","[{""time"":25,""event"":""foul""},{""time"":37,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":75,""event"":""goal""}]","2.47","50%","14","3","7","3","11","2","4","14","10","3",
"Bayer Leverkusen","home","win","[{""time"":23,""event"":""goal""},{""time"":57,""event"":""goal""},{""time"":73,""event"":""goal""},{""time"":83,""event"":""goal""}]","2.51","66%","19","10","10","0","9","3","4","13","8","2",
"Union Berlin","away","loss","[{""time"":24,""event"":""foul""},{""time"":74,""event"":""foul""}]","0.07","34%","2","2","1","1","0","0","11","10","5","6",
"Bochum","home","draw","[{""time"":25,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":90,""event"":""foul""}]","3.64","52%","25","9","3","4","16","1","19","32","14","5",
"FC Koln","away","draw","[{""time"":54,""event"":""goal""},{""time"":89,""event"":""foul""}]","0.87","48%","10","6","3","1","4","1","17","30","19","8",
"Augsburg","home","draw","[{""time"":44,""event"":""foul""},{""time"":53,""event"":""goal""}]","1.41","40%","11","6","3","1","5","3","14","20","9","5",
"Hoffenheim","away","draw","[{""time"":23,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":76,""event"":""foul""}]","1.29","60%","12","6","5","2","6","2","13","19","11","5",
"Bayern Munich","home","win","[{""time"":3,""event"":""foul""},{""time"":14,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":72,""event"":""goal""},{""time"":85,""event"":""goal""}]","2.28","68%","18","8","7","1","10","0","7","19","8","0",
"Heidenheim","away","loss","[{""time"":67,""event"":""goal""},{""time"":70,""event"":""goal""}]","1.35","32%","7","2","2","0","5","1","8","17","8","4",
"Darmstadt","home","draw","[{""time"":69,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.63","57%","9","3","0","3","6","0","16","21","20","0",
"Mainz","away","draw","[{""time"":35,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":58,""event"":""foul""}]","0.74","43%","9","0","5","3","9","1","21","29","15","3",
"Stuttgart","home","win","[{""time"":11,""event"":""foul""},{""time"":15,""event"":""foul""},{""time"":42,""event"":""goal""},{""time"":59,""event"":""foul""},{""time"":83,""event"":""goal""}]","4.39","57%","22","10","6","2","12","2","14","15","13","0",
"Dortmund","away","loss","[{""time"":10,""event"":""foul""},{""time"":15,""event"":""foul""},{""time"":28,""event"":""foul""},{""time"":36,""event"":""goal""},{""time"":49,""event"":""foul""}]","1.12","43%","5","1","1","3","4","1","15","16","16","8",
"B. Monchengladbach","home","win","[{""time"":16,""event"":""goal""},{""time"":29,""event"":""foul""},{""time"":42,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":71,""event"":""goal""}]","1.98","48%","16","8","8","1","8","2","13","21","7","4",
"Wolfsburg","away","loss","[{""time"":33,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.61","52%","12","4","5","3","8","1","8","14","12","4",
"Heidenheim","home","win","[{""time"":44,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":94,""event"":""goal""}]","2.01","36%","20","3","9","2","17","2","14","25","7","2",
"Stuttgart","away","loss","[{""time"":57,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":74,""event"":""foul""}]","2.92","64%","15","2","6","2","13","2","8","19","13","1",
"Wolfsburg","home","draw","[{""time"":6,""event"":""foul""},{""time"":37,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":88,""event"":""foul""}]","2.03","53%","15","5","5","4","10","1","13","14","14","2","1"
"Werder Bremen","away","draw","[{""time"":7,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":65,""event"":""goal""}]","1.71","47%","13","4","2","1","9","6","6","13","17","3","0"
"Dortmund","home","loss","[{""time"":61,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":76,""event"":""foul""}]","1.08","50%","15","1","3","3","14","0","12","13","14","4",
"Bayern Munich","away","win","[{""time"":4,""event"":""goal""},{""time"":9,""event"":""goal""},{""time"":22,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":85,""event"":""foul""},{""time"":93,""event"":""goal""}]","3.73","50%","14","8","2","2","6","6","14","14","6","1",
"FC Koln","home","draw","[{""time"":16,""event"":""goal""},{""time"":97,""event"":""foul""}]","2.62","56%","28","12","10","1","16","0","10","25","10","2",
"Augsburg","away","draw","[{""time"":25,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":96,""event"":""foul""},{""time"":97,""event"":""foul""}]","2.08","44%","18","3","2","4","15","1","10","18","10","11",
"Freiburg","home","draw","[{""time"":7,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":96,""event"":""goal""}]","4.38","57%","15","8","8","2","7","1","12","24","7","2",
"B. Monchengladbach","away","draw","[{""time"":25,""event"":""goal""},{""time"":29,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.69","43%","10","5","2","2","5","3","6","19","10","5",
"Hoffenheim","home","loss","[{""time"":48,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":60,""event"":""foul""}]","1.82","48%","12","7","4","3","5","0","12","8","6","1",
"Bayer Leverkusen","away","win","[{""time"":9,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":70,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":81,""event"":""foul""}]","1.46","52%","10","4","3","2","6","2","6","8","10","5",
"Mainz","home","win","[{""time"":16,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":76,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.53","36%","10","3","2","3","7","5","9","21","13","2",
"RB Leipzig","away","loss","[{""time"":51,""event"":""foul""}]","0.44","64%","10","2","7","1","8","0","18","31","9","1",
"Union Berlin","home","loss","[]","0.51","48%","10","3","9","0","7","3","11","24","13","0",
"Eintracht Frankfurt","away","win","[{""time"":2,""event"":""goal""},{""time"":14,""event"":""goal""},{""time"":29,""event"":""foul""},{""time"":82,""event"":""goal""}]","1.49","52%","4","3","1","1","1","3","13","14","8","3",
"Darmstadt","home","loss","[{""time"":43,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":69,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.94","57%","15","4","11","2","11","2","18","29","7","2","1"
"Bochum","away","win","[{""time"":25,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.86","43%","9","4","2","5","5","2","9","32","16","3","0"
"Bayer Leverkusen","home","win","[{""time"":36,""event"":""goal""},{""time"":60,""event"":""goal""}]","2.49","67%","19","4","11","0","15","1","10","14","9","3",
"Freiburg","away","loss","[{""time"":14,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":93,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.94","33%","10","4","4","2","6","0","10","15","10","2",
"Eintracht Frankfurt","home","draw","[{""time"":8,""event"":""goal""},{""time"":24,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":68,""event"":""goal""}]","2.92","42%","11","7","0","3","4","4","12","21","11","1",
"Dortmund","away","draw","[{""time"":11,""event"":""foul""},{""time"":46,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":76,""event"":""foul""},{""time"":82,""event"":""goal""},{""time"":93,""event"":""foul""}]","1.87","58%","14","4","4","2","10","4","13","18","10","4",
"RB Leipzig","home","win","[{""time"":15,""event"":""goal""},{""time"":19,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":40,""event"":""goal""},{""time"":43,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":88,""event"":""goal""},{""time"":91,""event"":""goal""}]","3.75","60%","24","13","11","2","11","1","14","31","8","1","0"
"FC Koln","away","loss","[{""time"":29,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":85,""event"":""foul""}]","0.77","40%","6","1","1","4","5","2","9","12","13","7","1"
"Augsburg","home","win","[{""time"":17,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":81,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.48","45%","9","5","5","6","4","6",,,"19","4","1"
"Wolfsburg","away","loss","[{""time"":6,""event"":""foul""},{""time"":35,""event"":""goal""},{""time"":45,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.19","55%","13","6","5","4","7","2",,,"14","2","0"
"B. Monchengladbach","home","win","[{""time"":4,""event"":""goal""},{""time"":52,""event"":""goal""}]","0.78","54%","11","6","6","0","5","1",,,"5","2",
"Heidenheim","away","loss","[{""time"":38,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":61,""event"":""foul""},{""time"":77,""event"":""foul""}]","0.47","46%","8","3","4","3","5","0",,,"18","4",
"Bayern Munich","home","win","[{""time"":4,""event"":""foul""},{""time"":7,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":56,""event"":""goal""},{""time"":60,""event"":""goal""},{""time"":64,""event"":""goal""},{""time"":69,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":76,""event"":""goal""},{""time"":88,""event"":""goal""}]","5.81","55%","28","16","7","1","12","2",,,"15","4","1"
"Darmstadt","away","loss","[{""time"":21,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":69,""event"":""foul""}]","0.69","45%","10","4","1","2","6","1",,,"13","8","2"
"Stuttgart","home","loss","[{""time"":20,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":73,""event"":""goal""},{""time"":80,""event"":""foul""}]","3.61","68%","23","10","6","2","13","2","12","21","13","2",
"Hoffenheim","away","win","[{""time"":4,""event"":""goal""},{""time"":17,""event"":""foul""},{""time"":21,""event"":""goal""},{""time"":66,""event"":""goal""}]","1.75","32%","7","5","0","1","2","1","14","14","11","8",
"Werder Bremen","home","win","[{""time"":38,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":75,""event"":""goal""}]","0.64","57%","9","3","3","1","6","3","19","20","12","2","0"
"Union Berlin","away","loss","[{""time"":56,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":80,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.42","43%","7","2","3","4","5","5","17","26","14","1","1"
"Bochum","home","draw","[{""time"":21,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":82,""event"":""goal""},{""time"":88,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.65","52%","10","4","5","3","6","2","21","27","14","2",
"Mainz","away","draw","[{""time"":15,""event"":""foul""},{""time"":20,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":96,""event"":""goal""}]","0.38","48%","10","4","4","3","6","2","14","27","21","2",
"Heidenheim","home","loss","[{""time"":17,""event"":""goal""},{""time"":18,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":93,""event"":""foul""}]","3.13","55%","16","5","6","3","11","1","13","24","11","1",
"Augsburg","away","win","[{""time"":29,""event"":""goal""},{""time"":41,""event"":""goal""},{""time"":42,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":64,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":88,""event"":""goal""}]","3.29","45%","9","6","5","2","3","1","11","28","11","3",
"FC Koln","home","win","[{""time"":9,""event"":""goal""},{""time"":76,""event"":""foul""},{""time"":90,""event"":""goal""}]","1.74","60%","21","8","8","0","13","1","11","23","13","1","0"
"B. Monchengladbach","away","loss","[{""time"":63,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.11","40%","5","2","3","2","3","0","14","24","10","5","1"
"Mainz","home","loss","[{""time"":43,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":65,""event"":""foul""}]","1.09","41%","14","3","2","3","11","1","12","11","12","2",
"Bayern Munich","away","win","[{""time"":11,""event"":""goal""},{""time"":16,""event"":""goal""},{""time"":27,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":91,""event"":""foul""}]","1.36","59%","12","5","7","2","7","1","13","18","10","2",
"Darmstadt","home","loss","[{""time"":32,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":71,""event"":""foul""}]","1.87","55%","16","3","6","6","13","2","14","19","16","4",
"RB Leipzig","away","win","[{""time"":1,""event"":""goal""},{""time"":24,""event"":""goal""},{""time"":63,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":79,""event"":""foul""}]","2.53","45%","10","7","0","3","3","4","14","18","12","2",
"Freiburg","home","win","[{""time"":23,""event"":""foul""},{""time"":26,""event"":""goal""},{""time"":29,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":92,""event"":""foul""}]","2.49","54%","15","5","5","3","10","4","16","13","11","4",
"Bochum","away","loss","[{""time"":15,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":65,""event"":""foul""}]","1.66","46%","13","5","2","4","8","2","15","20","16","3",
"Hoffenheim","home","loss","[{""time"":3,""event"":""goal""},{""time"":41,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":60,""event"":""foul""}]","1.25","54%","14","5","6","3","9","5","5","16","7","2",
"Eintracht Frankfurt","away","win","[{""time"":11,""event"":""goal""},{""time"":23,""event"":""goal""},{""time"":48,""event"":""goal""}]","2.71","46%","13","5","3","0","8","1","12","13","7","4",
"Union Berlin","home","loss","[{""time"":34,""event"":""foul""},{""time"":49,""event"":""foul""}]","1.19","43%","10","2","4","2","8","4","12","23","12","2",
"Stuttgart","away","win","[{""time"":16,""event"":""goal""},{""time"":34,""event"":""foul""},{""time"":81,""event"":""goal""},{""time"":88,""event"":""goal""}]","1.63","57%","10","5","2","1","5","0","17","23","12","2",
"Wolfsburg","home","loss","[{""time"":36,""event"":""foul""},{""time"":41,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":65,""event"":""foul""}]","1.59","46%","18","7","4","3","11","1","15","14","15","4",
"Bayer Leverkusen","away","win","[{""time"":13,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":74,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.49","54%","13","6","3","5","7","2","16","17","14","6",
"Dortmund","home","win","[{""time"":44,""event"":""foul""},{""time"":67,""event"":""goal""}]","2.71","58%","22","5","10","1","17","0","10","17","5","1",
"Werder Bremen","away","loss","[{""time"":61,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.44","42%","6","1","4","5","5","0","5","17","10","4",
"Eintracht Frankfurt","home","win","[{""time"":11,""event"":""foul""},{""time"":30,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":65,""event"":""foul""},{""time"":72,""event"":""goal""}]","1.90","51%","12","6","3","2","6","3","12","15","14","2",
"Heidenheim","away","loss","[{""time"":23,""event"":""foul""},{""time"":28,""event"":""foul""},{""time"":46,""event"":""foul""}]","0.86","49%","7","2","6","3","5","3","17","28","10","4",
