"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Red Cards"
"RB Leipzig","away","win","[{""time"":14,""event"":""foul""},{""time"":30,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":72,""event"":""goal""},{""time"":81,""event"":""foul""}]","1.93","56%","10","4","5","2","6","2","17","19","10","3","0"
"Darmstadt","home","loss","[{""time"":17,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":46,""event"":""foul""}]","1.22","43%","10","5","3","2","5","1","12","27","4","0",
"Augsburg","away","win","[{""time"":2,""event"":""goal""},{""time"":12,""event"":""goal""},{""time"":20,""event"":""goal""},{""time"":25,""event"":""goal""},{""time"":29,""event"":""goal""},{""time"":84,""event"":""goal""}]","3.31","57%","21","6","6","0","15","0","5","13","12","5",
"Heidenheim","home","loss","[{""time"":59,""event"":""goal""},{""time"":62,""event"":""foul""}]","1.18","53%","16","3","7","1","13","1","11","30","6","4",
"Eintracht Frankfurt","away","win","[{""time"":25,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":39,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":86,""event"":""foul""}]","2.22","47%","10","5","3","4","5","1","8","19","10","2",
"Mainz","home","draw","[{""time"":12,""event"":""goal""},{""time"":50,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":58,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":93,""event"":""foul""}]","1.45","43%","21","5","12","5","16","0","20","17","12","4","1"
"B. Monchengladbach","away","draw","[{""time"":43,""event"":""foul""},{""time"":55,""event"":""goal""}]","1.26","57%","14","5","6","1","9","5","12","16","15","4","0"
"Union Berlin","home","loss","[{""time"":75,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.34","42%","13","5","8","2","8","4","9","10","11","5",
"Dortmund","away","win","[{""time"":41,""event"":""goal""},{""time"":45,""event"":""foul""},{""time"":90,""event"":""goal""}]","1.75","58%","12","7","7","1","5","1","17","14","8","5",
"Freiburg","home","draw","[{""time"":12,""event"":""goal""},{""time"":87,""event"":""goal""},{""time"":94,""event"":""foul""}]","1.42","43%","17","6","3","1","11","3","7","10","11","7",
"Bayern Munich","away","draw","[{""time"":35,""event"":""goal""},{""time"":73,""event"":""foul""},{""time"":75,""event"":""goal""},{""time"":79,""event"":""foul""}]","1.93","57%","21","9","6","2","12","0","14","16","7","4",
"Augsburg","home","win","[{""time"":23,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":79,""event"":""foul""},{""time"":81,""event"":""goal""},{""time"":89,""event"":""foul""}]","2.10","62%","21","9","10","3","12","1","14","21","16","0",
