"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Burnley","away","loss","[{""time"":11,""event"":""foul""},{""time"":25,""event"":""goal""},{""time"":46,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":67,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.71","37%","7","3","3","5","4","3","11","13","14","7",,
"West Ham","home","win","[{""time"":52,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":76,""event"":""goal""}]","2.30","58%","24","8","7","1","16","2","15","21","9","0",,
"Luton","away","loss","[{""time"":6,""event"":""goal""},{""time"":10,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":83,""event"":""foul""}]","0.47","42%","4","1","6","3","3","0","11","15","15","5",,
"Wolves","home","loss","[{""time"":40,""event"":""foul""},{""time"":71,""event"":""foul""},{""time"":77,""event"":""foul""}]","1.16","62%","14","8","8","3","6","3","19","23","13","0",,"0"
"Crystal Palace","away","win","[{""time"":14,""event"":""foul""},{""time"":26,""event"":""goal""},{""time"":28,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":73,""event"":""goal""},{""time"":77,""event"":""foul""},{""time"":82,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":85,""event"":""foul""}]","3.00","38%","13","3","3","4","10","5","14","16","12","7",,"1"
"Fulham","home","loss","[{""time"":78,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":95,""event"":""foul""}]","0.10","35%","1","1","1","3","0","0","5","16","9","5",,"1"
"Manchester City","away","win","[{""time"":13,""event"":""goal""},{""time"":22,""event"":""foul""},{""time"":59,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":96,""event"":""goal""}]","2.87","65%","16","9","7","0","7","0","9","10","6","1",,"0"
"Crystal Palace","home","win","[{""time"":12,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.40","43%","18","10","6","1","8","2","10","21","12","2",,
"Manchester Utd","away","loss","[{""time"":69,""event"":""foul""}]","0.33","57%","7","2","2","1","5","1","13","11","8","6",,
"Liverpool","home","win","[{""time"":16,""event"":""goal""},{""time"":45,""event"":""goal""},{""time"":50,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":92,""event"":""foul""}]","3.19","44%","25","13","8","1","12","7","14","16","14","4",,
"Tottenham","away","loss","[{""time"":44,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":72,""event"":""goal""},{""time"":77,""event"":""goal""}]","1.16","56%","11","6","3","4","5","2","19","19","12","9",,
"Brighton","home","win","[{""time"":49,""event"":""foul""},{""time"":63,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":87,""event"":""foul""},{""time"":87,""event"":""goal""},{""time"":90,""event"":""foul""}]","2.47","52%","15","8","7","2","7","4","10","11","13","1",,
"Aston Villa","away","loss","[{""time"":26,""event"":""foul""},{""time"":99,""event"":""foul""}]","0.06","48%","2","1","3","1","1","1","17","15","10","7",,
"Chelsea","home","win","[{""time"":15,""event"":""goal""},{""time"":30,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":38,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":80,""event"":""foul""}]","4.31","69%","25","14","8","1","11","1","10","8","12","2",,
"West Ham","away","loss","[{""time"":34,""event"":""foul""},{""time"":44,""event"":""foul""},{""time"":47,""event"":""foul""}]","0.93","31%","13","2","6","3","11","0","13","17","10","9",,
"Manchester City","home","win","[{""time"":12,""event"":""goal""},{""time"":35,""event"":""goal""},{""time"":48,""event"":""goal""},{""time"":54,""event"":""goal""},{""time"":85,""event"":""goal""}]","3.03","58%","20","12","6","0","8","2","17","15","4","0",,
"Wolves","away","loss","[{""time"":41,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":53,""event"":""goal""},{""time"":64,""event"":""foul""},{""time"":66,""event"":""foul""}]","0.37","42%","2","1","0","4","1","2","6","8","17","7",,
"Brentford","home","draw","[{""time"":48,""event"":""foul""},{""time"":67,""event"":""foul""}]","1.11","55%","7","3","7","1","4","1","5","17","3","3",,
"Fulham","away","draw","[{""time"":89,""event"":""foul""}]","1.13","45%","15","3","6","1","12","0","5","13","6","3",,
"Burnley","home","loss","[{""time"":37,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":86,""event"":""goal""}]","1.17","47%","17","5","4","2","12","0","8","15","8","7",,
"Newcastle","away","win","[{""time"":18,""event"":""foul""},{""time"":19,""event"":""goal""},{""time"":35,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":72,""event"":""foul""}]","3.03","53%","23","11","11","2","12","0","8","17","8","4",,
"Sheffield Utd","home","loss","[{""time"":17,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":96,""event"":""foul""}]","2.26","54%","17","5","5","2","12","0","7","18","9","1",,"1"
