"team","location","result","events","Expected Goals (xG)","Ball Possession","Total shots","Shots on target","Corner Kicks","Yellow Cards","Shots off target","Offsides","Free Kicks","Throw-ins","Fouls","Goalkeeper Saves","Blocked Shots","Red Cards"
"Sheffield Utd","away","loss","[{""time"":72,""event"":""foul""}]","0.58","37%","12","4","6","1","8","0","7","15","4","1",,
"Arsenal","home","win","[{""time"":7,""event"":""foul""},{""time"":18,""event"":""goal""},{""time"":24,""event"":""goal""},{""time"":65,""event"":""goal""},{""time"":69,""event"":""goal""}]","2.40","55%","18","8","9","1","10","3","8","15","15","1",,
"Newcastle","away","loss","[{""time"":84,""event"":""goal""}]","0.14","45%","3","2","0","0","1","2","18","16","6","4",,
"Bournemouth","home","loss","[{""time"":38,""event"":""foul""},{""time"":70,""event"":""foul""}]","0.79","38%","13","4","3","2","9","3","6","16","14","5",,
"Manchester City","away","win","[{""time"":24,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.53","62%","15","6","8","2","9","0","16","19","6","4",,
"Aston Villa","home","win","[{""time"":4,""event"":""goal""},{""time"":29,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":57,""event"":""foul""},{""time"":61,""event"":""goal""}]","3.35","58%","16","6","7","1","10","1","18","14","7","1",,
"Nottingham","away","loss","[{""time"":15,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":48,""event"":""goal""}]","2.45","42%","10","3","2","2","7","2","8","15","16","2",,
"Brighton","home","draw","[{""time"":54,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":81,""event"":""foul""},{""time"":95,""event"":""goal""}]","1.36","65%","23","7","11","2","16","1","17","11","9","2",,"1"
"Everton","away","draw","[{""time"":33,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":73,""event"":""goal""},{""time"":91,""event"":""foul""},{""time"":92,""event"":""foul""}]","0.28","35%","6","3","3","3","3","3","10","14","14","6",,"0"
"Crystal Palace","home","win","[{""time"":50,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":79,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":97,""event"":""foul""}]","2.67","56%","15","6","12","3","9","6","16","18","8","0",,"0"
"Burnley","away","loss","[{""time"":35,""event"":""foul""},{""time"":85,""event"":""foul""},{""time"":87,""event"":""foul""}]","0.10","44%","2","0","3","1","2","2","14","16","14","3",,"1"
"Manchester Utd","home","loss","[{""time"":36,""event"":""foul""},{""time"":53,""event"":""foul""},{""time"":89,""event"":""goal""},{""time"":100,""event"":""foul""}]","1.66","57%","21","9","10","2","12","2","9","14","6","3",,
"Fulham","away","win","[{""time"":25,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":90,""event"":""foul""},{""time"":97,""event"":""goal""},{""time"":100,""event"":""foul""}]","1.10","43%","17","5","9","5","12","1","6","17","11","8",,
"Liverpool","home","win","[{""time"":56,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":71,""event"":""goal""},{""time"":82,""event"":""foul""},{""time"":90,""event"":""goal""}]","3.35","61%","29","13","13","1","16","2","17","18","15","2",,
"Luton","away","loss","[{""time"":12,""event"":""goal""},{""time"":18,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":89,""event"":""foul""}]","1.03","39%","12","3","4","4","9","3","17","16","14","9",,
"Manchester City","home","win","[{""time"":47,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":82,""event"":""foul""}]","2.46","70%","25","11","10","2","14","1","9","14","12","2",,
"Brentford","away","loss","[{""time"":47,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":96,""event"":""foul""}]","0.34","30%","6","2","1","4","4","3","13","13","6","10",,
"Everton","home","draw","[{""time"":84,""event"":""goal""}]","1.66","63%","19","4","3","0","15","1","14","26","8","3",,
"Crystal Palace","away","draw","[{""time"":66,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":94,""event"":""foul""}]","0.62","37%","10","4","6","2","6","2","9","37","12","3",,
"Luton","home","loss","[{""time"":14,""event"":""goal""},{""time"":17,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":87,""event"":""foul""}]","1.75","58%","22","4","8","3","18","4","22","12","7","7",,
"Manchester Utd","away","win","[{""time"":1,""event"":""goal""},{""time"":7,""event"":""goal""},{""time"":20,""event"":""foul""},{""time"":34,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":81,""event"":""foul""}]","3.11","42%","21","9","6","5","12","1","11","10","21","3",,
"Sheffield Utd","home","loss","[{""time"":13,""event"":""foul""},{""time"":46,""event"":""foul""},{""time"":93,""event"":""foul""}]","0.64","21%","6","1","5","1","5","2","7","15","3","5",,"1"
"Brighton","away","win","[{""time"":20,""event"":""goal""},{""time"":24,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":75,""event"":""goal""},{""time"":78,""event"":""goal""},{""time"":85,""event"":""goal""},{""time"":90,""event"":""foul""},{""time"":93,""event"":""foul""}]","3.34","79%","24","10","10","4","14","2","5","13","5","1",,"0"
"Manchester City","home","draw","[{""time"":83,""event"":""goal""},{""time"":85,""event"":""foul""}]","2.81","70%","31","5","12","1","26","0","17","19","7","5",,
"Chelsea","away","draw","[{""time"":35,""event"":""foul""},{""time"":42,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":62,""event"":""foul""}]","1.42","30%","9","6","1","3","3","5","7","11","12","4",,
"Burnley","home","loss","[{""time"":7,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":63,""event"":""foul""}]","0.28","35%","8","0","4","2","8","5","9","13","11","2",,
"Arsenal","away","win","[{""time"":4,""event"":""goal""},{""time"":41,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":47,""event"":""goal""},{""time"":66,""event"":""goal""},{""time"":78,""event"":""goal""}]","2.60","65%","16","7","6","1","9","1","17","16","8","0",,
"Fulham","home","loss","[{""time"":22,""event"":""foul""},{""time"":63,""event"":""goal""},{""time"":89,""event"":""foul""},{""time"":90,""event"":""foul""},{""time"":94,""event"":""foul""}]","1.26","52%","15","4","4","5","11","2","14","14","11","1",,
"Aston Villa","away","win","[{""time"":23,""event"":""goal""},{""time"":32,""event"":""foul""},{""time"":40,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":74,""event"":""foul""}]","1.66","48%","12","3","4","2","9","6","12","16","6","3",,
"Newcastle","home","draw","[{""time"":58,""event"":""goal""},{""time"":87,""event"":""foul""},{""time"":92,""event"":""goal""}]","2.53","63%","17","5","4","1","12","0","25","20","9","5",,
"Bournemouth","away","draw","[{""time"":44,""event"":""foul""},{""time"":51,""event"":""goal""},{""time"":52,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":69,""event"":""goal""}]","2.16","37%","12","7","2","3","5","3","9","13","23","3",,
"Nottingham","home","win","[{""time"":9,""event"":""foul""},{""time"":50,""event"":""goal""},{""time"":51,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":94,""event"":""goal""}]","2.79","48%","19","8","5","4","11","1","16","19","13","3",,"0"
"West Ham","away","loss","[{""time"":8,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":71,""event"":""foul""}]","0.60","52%","10","3","2","6","7","1","14","15","15","6",,"1"
"Tottenham","home","loss","[{""time"":46,""event"":""goal""}]","1.12","71%","15","4","10","0","11","1","15","19","8","5",,
"Wolves","away","win","[{""time"":42,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":67,""event"":""foul""}]","1.59","29%","12","7","4","1","5","2","9","10","13","3",,
"Brentford","home","loss","[{""time"":45,""event"":""foul""},{""time"":72,""event"":""foul""},{""time"":75,""event"":""goal""}]","1.31","37%","15","6","1","2","9","3","20","16","4","4",,
"Liverpool","away","win","[{""time"":34,""event"":""foul""},{""time"":35,""event"":""goal""},{""time"":44,""event"":""foul""},{""time"":55,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":86,""event"":""goal""}]","2.11","63%","15","8","6","1","7","2","7","15","18","5",,
"Crystal Palace","home","loss","[{""time"":30,""event"":""goal""},{""time"":70,""event"":""foul""},{""time"":80,""event"":""foul""}]","0.50","23%","13","4","1","2","9","2","11","11","14","2",,
"Chelsea","away","win","[{""time"":47,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":92,""event"":""foul""},{""time"":94,""event"":""goal""},{""time"":94,""event"":""foul""}]","1.24","77%","14","5","7","2","9","4","16","25","7","3",,
"Aston Villa","home","loss","[{""time"":49,""event"":""foul""},{""time"":60,""event"":""foul""},{""time"":65,""event"":""foul""},{""time"":67,""event"":""goal""},{""time"":71,""event"":""foul""}]","2.77","56%","23","10","10","3","13","0","13","14","9","3",,
"Manchester Utd","away","win","[{""time"":17,""event"":""goal""},{""time"":37,""event"":""foul""},{""time"":49,""event"":""foul""},{""time"":86,""event"":""goal""}]","1.81","44%","17","5","8","2","12","6","9","7","7","9",,
"West Ham","home","loss","[{""time"":9,""event"":""foul""},{""time"":38,""event"":""foul""},{""time"":76,""event"":""foul""},{""time"":91,""event"":""foul""}]","0.30","29%","5","1","2","4","4","2","13","14","17","6",,
"Arsenal","away","win","[{""time"":32,""event"":""goal""},{""time"":41,""event"":""goal""},{""time"":44,""event"":""goal""},{""time"":47,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":65,""event"":""goal""}]","3.65","71%","25","12","6","0","13","2","19","8","11","1",,
"Nottingham","home","loss","[{""time"":26,""event"":""goal""},{""time"":51,""event"":""goal""},{""time"":59,""event"":""foul""}]","1.17","38%","13","3","4","1","10","3","6","24","9","2",,
"Newcastle","away","win","[{""time"":10,""event"":""goal""},{""time"":43,""event"":""goal""},{""time"":58,""event"":""foul""},{""time"":66,""event"":""goal""},{""time"":94,""event"":""foul""}]","0.50","62%","7","5","4","2","2","0","12","15","6","1",,
"Fulham","home","win","[{""time"":6,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":52,""event"":""goal""},{""time"":94,""event"":""foul""}]","1.41","50%","7","6","1","1","1","1","14","16","11","3",,
"Bournemouth","away","loss","[{""time"":50,""event"":""goal""},{""time"":62,""event"":""foul""},{""time"":81,""event"":""foul""}]","2.30","50%","25","4","13","2","21","3","12","22","11","3",,
"Liverpool","home","win","[{""time"":19,""event"":""foul""},{""time"":31,""event"":""goal""},{""time"":33,""event"":""foul""},{""time"":39,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":79,""event"":""goal""}]","2.20","71%","25","10","9","3","15","2","15","17","11","3",,
"Burnley","away","loss","[{""time"":14,""event"":""foul""},{""time"":26,""event"":""foul""},{""time"":45,""event"":""goal""},{""time"":55,""event"":""foul""}]","0.61","29%","9","4","3","2","5","2","13","13","13","7",,
"Luton","home","loss","[{""time"":41,""event"":""foul""},{""time"":52,""event"":""goal""}]","1.67","75%","20","5","13","1","15","2","12","24","7","0",,
"Sheffield Utd","away","win","[{""time"":5,""event"":""foul""},{""time"":10,""event"":""foul""},{""time"":26,""event"":""foul""},{""time"":30,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":72,""event"":""goal""}]","1.71","25%","7","3","1","2","4","0","9","24","12","4",,
"Tottenham","home","win","[{""time"":35,""event"":""foul""},{""time"":61,""event"":""goal""},{""time"":61,""event"":""foul""},{""time"":96,""event"":""goal""}]","1.54","52%","16","6","9","2","10","4","19","24","14","2",,
"Brighton","away","loss","[{""time"":17,""event"":""goal""},{""time"":65,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.25","48%","6","3","6","3","3","6","18","23","13","4",,
"Wolves","home","loss","[{""time"":20,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":70,""event"":""foul""},{""time"":88,""event"":""foul""}]","1.02","72%","17","5","7","2","12","1","9","28","11","4",,
"Brentford","away","win","[{""time"":35,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":68,""event"":""foul""},{""time"":77,""event"":""goal""},{""time"":81,""event"":""foul""}]","1.92","28%","9","6","4","3","3","0","12","12","9","5",,
"Manchester City","home","win","[{""time"":71,""event"":""goal""},{""time"":85,""event"":""goal""}]","1.38","72%","19","3","9","0","16","1","13","22","6","1",,
"Everton","away","loss","[{""time"":54,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":97,""event"":""foul""}]","0.24","28%","5","1","0","2","4","2","7","18","11","1",,
"Brentford","home","loss","[{""time"":21,""event"":""goal""},{""time"":31,""event"":""foul""}]","1.08","28%","9","3","8","1","6","2","4","8","2","12",,
"Manchester City","away","win","[{""time"":48,""event"":""goal""},{""time"":53,""event"":""goal""},{""time"":70,""event"":""goal""}]","2.35","72%","25","15","13","0","10","0","4","20","4","2",,
"Arsenal","home","win","[{""time"":14,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":57,""event"":""foul""},{""time"":67,""event"":""goal""},{""time"":69,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":92,""event"":""goal""},{""time"":94,""event"":""foul""},{""time"":95,""event"":""foul""}]","3.68","43%","15","7","2","6","8","3","12","21","11","1",,"0"
"Liverpool","away","loss","[{""time"":25,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":88,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.46","57%","10","1","4","4","9","1","14","29","11","4",,"1"
"Bournemouth","home","draw","[{""time"":5,""event"":""goal""},{""time"":23,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":84,""event"":""foul""},{""time"":86,""event"":""foul""}]","1.05","44%","9","2","11","3","7","1","12","28","19","5",,"1"
"Nottingham","away","draw","[{""time"":45,""event"":""goal""},{""time"":55,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":90,""event"":""foul""}]","0.59","56%","8","6","6","2","2","1","17","17","12","1",,"0"
"Chelsea","home","loss","[{""time"":19,""event"":""goal""},{""time"":31,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":78,""event"":""foul""},{""time"":86,""event"":""goal""}]","1.94","64%","15","6","10","3","9","3","11","22","15","3",,
"Wolves","away","win","[{""time"":22,""event"":""goal""},{""time"":39,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":43,""event"":""goal""},{""time"":63,""event"":""goal""},{""time"":82,""event"":""goal""}]","2.01","36%","14","7","1","2","7","0","16","16","11","4",,
"Manchester Utd","home","win","[{""time"":23,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":71,""event"":""foul""},{""time"":84,""event"":""goal""}]","0.81","51%","12","5","5","0","7","1","5","13","10","3",,
"West Ham","away","loss","[{""time"":37,""event"":""foul""},{""time"":46,""event"":""foul""}]","1.74","49%","22","3","8","1","19","0","11","19","5","2",,
"Sheffield Utd","home","loss","[{""time"":44,""event"":""foul""},{""time"":91,""event"":""foul""}]","1.27","34%","10","5","3","1","5","6","7","14","10","5",,
"Aston Villa","away","win","[{""time"":12,""event"":""goal""},{""time"":16,""event"":""goal""},{""time"":20,""event"":""goal""},{""time"":30,""event"":""goal""},{""time"":47,""event"":""goal""}]","2.34","66%","14","10","4","0","4","0","16","17","7","5",,
"Brighton","home","win","[{""time"":3,""event"":""goal""},{""time"":7,""event"":""foul""},{""time"":33,""event"":""goal""},{""time"":34,""event"":""goal""},{""time"":84,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.68","69%","13","6","3","1","7","2","16","14","8","4",,
"Crystal Palace","away","loss","[{""time"":16,""event"":""foul""},{""time"":28,""event"":""foul""},{""time"":56,""event"":""foul""},{""time"":59,""event"":""foul""},{""time"":62,""event"":""foul""},{""time"":71,""event"":""goal""}]","0.32","31%","7","5","2","3","2","2","10","17","14","2",,
"Burnley","home","draw","[{""time"":71,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":91,""event"":""goal""},{""time"":92,""event"":""foul""}]","1.72","44%","12","4","2","2","8","1","8","27","11","5",,
"Fulham","away","draw","[{""time"":17,""event"":""goal""},{""time"":21,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":48,""event"":""foul""}]","1.21","56%","15","7","13","2","8","1","12","31","7","2",,
"Newcastle","home","draw","[{""time"":7,""event"":""goal""},{""time"":23,""event"":""goal""},{""time"":56,""event"":""foul""},{""time"":67,""event"":""goal""},{""time"":73,""event"":""goal""},{""time"":76,""event"":""foul""}]","2.17","54%","19","6","8","2","13","0","16","19","13","4",,
"Luton","away","draw","[{""time"":21,""event"":""goal""},{""time"":40,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":62,""event"":""goal""},{""time"":90,""event"":""foul""}]","1.99","46%","11","8","2","2","3","0","13","12","16","2",,
"Everton","home","draw","[{""time"":30,""event"":""goal""},{""time"":60,""event"":""foul""},{""time"":91,""event"":""foul""},{""time"":94,""event"":""foul""},{""time"":94,""event"":""goal""},{""time"":98,""event"":""foul""}]","2.49","43%","14","5","9","3","9","5","13","27","8","4",,
"Tottenham","away","draw","[{""time"":4,""event"":""goal""},{""time"":41,""event"":""goal""}]","0.90","57%","9","6","5","0","3","1","12","27","14","3",,
"Wolves","home","loss","[{""time"":47,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":85,""event"":""goal""},{""time"":89,""event"":""foul""},{""time"":95,""event"":""goal""}]","2.13","53%","16","7","4","2","9","1","12","13","10","4",,
"Manchester Utd","away","win","[{""time"":3,""event"":""foul""},{""time"":5,""event"":""goal""},{""time"":22,""event"":""goal""},{""time"":48,""event"":""foul""},{""time"":75,""event"":""goal""},{""time"":78,""event"":""foul""},{""time"":97,""event"":""goal""},{""time"":98,""event"":""foul""},{""time"":100,""event"":""foul""}]","2.73","47%","21","8","5","5","13","2","11","19","10","4",,
"West Ham","home","draw","[{""time"":61,""event"":""goal""},{""time"":70,""event"":""foul""}]","1.15","49%","9","3","1","1","6","1","14","25","13","3",,
"Bournemouth","away","draw","[{""time"":3,""event"":""goal""},{""time"":67,""event"":""foul""},{""time"":83,""event"":""foul""},{""time"":97,""event"":""foul""}]","1.09","51%","9","4","5","3","5","3","14","31","11","2",,
"Liverpool","home","win","[{""time"":23,""event"":""goal""},{""time"":39,""event"":""goal""},{""time"":47,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":76,""event"":""foul""},{""time"":79,""event"":""goal""}]","2.90","51%","28","13","8","2","15","3","19","10","15","2",,
"Chelsea","away","loss","[{""time"":11,""event"":""foul""},{""time"":33,""event"":""foul""},{""time"":35,""event"":""foul""},{""time"":41,""event"":""foul""},{""time"":71,""event"":""goal""}]","0.54","49%","4","3","1","4","1","3","18","11","16","9",,
"Manchester City","home","win","[{""time"":16,""event"":""goal""},{""time"":22,""event"":""goal""},{""time"":46,""event"":""goal""},{""time"":75,""event"":""foul""},{""time"":81,""event"":""foul""}]","1.76","74%","14","4","7","2","10","3","16","17","3","2",,
"Burnley","away","loss","[{""time"":21,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":93,""event"":""goal""}]","1.39","26%","8","3","3","2","5","3","6","9","13","1",,
"Tottenham","home","win","[{""time"":43,""event"":""foul""},{""time"":48,""event"":""goal""},{""time"":49,""event"":""goal""},{""time"":56,""event"":""goal""},{""time"":96,""event"":""foul""}]","3.26","68%","19","5","5","2","14","2","18","15","13","3",,
"Brentford","away","loss","[{""time"":12,""event"":""foul""},{""time"":15,""event"":""goal""},{""time"":17,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":67,""event"":""goal""},{""time"":90,""event"":""foul""}]","1.93","32%","9","5","3","3","4","3","15","17","15","2",,
"Aston Villa","home","loss","[{""time"":40,""event"":""foul""},{""time"":71,""event"":""goal""},{""time"":72,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":95,""event"":""foul""}]","1.39","61%","12","6","8","4","6","2","16","23","14","2",,
"Newcastle","away","win","[{""time"":32,""event"":""goal""},{""time"":36,""event"":""goal""},{""time"":43,""event"":""foul""},{""time"":52,""event"":""goal""},{""time"":94,""event"":""foul""}]","2.54","39%","14","5","7","1","9","4","16","7","12","5",,
"Crystal Palace","home","win","[{""time"":17,""event"":""goal""},{""time"":27,""event"":""goal""},{""time"":67,""event"":""goal""},{""time"":78,""event"":""foul""},{""time"":103,""event"":""foul""}]","1.29","53%","12","4","11","1","8","2","19","24","8","3",,
"Sheffield Utd","away","loss","[{""time"":1,""event"":""goal""},{""time"":20,""event"":""goal""},{""time"":40,""event"":""foul""},{""time"":43,""event"":""foul""},{""time"":52,""event"":""foul""},{""time"":95,""event"":""foul""},{""time"":103,""event"":""foul""}]","0.72","47%","9","5","1","4","4","1","9","30","18","1",,
"Fulham","home","draw","[{""time"":26,""event"":""foul""}]","1.82","70%","25","6","15","1","19","3","15","18","6","4",,
"Everton","away","draw","[{""time"":28,""event"":""foul""},{""time"":42,""event"":""foul""},{""time"":90,""event"":""foul""}]","1.25","30%","21","4","6","2","17","2","10","12","13","6",,
"Luton","home","win","[{""time"":1,""event"":""goal""},{""time"":3,""event"":""goal""},{""time"":25,""event"":""foul""},{""time"":42,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":56,""event"":""goal""},{""time"":65,""event"":""foul""}]","2.59","41%","18","8","7","2","10","4","15","26","13","2",,
"Brighton","away","loss","[{""time"":13,""event"":""foul""},{""time"":20,""event"":""foul""},{""time"":73,""event"":""foul""}]","0.76","59%","9","2","4","2","7","1","17","25","14","4",,
"Nottingham","home","loss","[{""time"":89,""event"":""goal""}]","0.36","27%","9","3","2","0","6","1","10","16","6","1",,
"Arsenal","away","win","[{""time"":40,""event"":""foul""},{""time"":65,""event"":""goal""},{""time"":72,""event"":""goal""}]","1.25","73%","19","3","10","1","16","3","7","10","7","2",,
"Brighton","home","draw","[{""time"":82,""event"":""foul""}]","1.39","71%","11","4","8","1","7","3","13","19","10","3",,
"Wolves","away","draw","[{""time"":47,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":74,""event"":""foul""},{""time"":92,""event"":""foul""}]","1.59","29%","8","3","2","4","5","1","14","12","13","4",,
"Bournemouth","home","loss","[{""time"":59,""event"":""foul""}]","1.52","39%","11","1","8","1","10","1","12","25","9","3",,
"Liverpool","away","win","[{""time"":49,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":70,""event"":""goal""},{""time"":79,""event"":""goal""},{""time"":83,""event"":""foul""},{""time"":93,""event"":""goal""},{""time"":97,""event"":""foul""}]","1.71","61%","14","7","5","2","7","0","10","22","12","1",,
"Sheffield Utd","home","draw","[{""time"":39,""event"":""foul""},{""time"":44,""event"":""goal""},{""time"":68,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":93,""event"":""foul""},{""time"":103,""event"":""goal""}]","2.05","57%","21","6","4","3","15","1","10","28","11","3",,"1"
"West Ham","away","draw","[{""time"":28,""event"":""goal""},{""time"":42,""event"":""foul""},{""time"":79,""event"":""goal""},{""time"":93,""event"":""foul""},{""time"":97,""event"":""foul""},{""time"":102,""event"":""foul""}]","2.18","43%","16","5","1","3","11","2","11","26","10","4",,"1"
"Brentford","home","win","[{""time"":19,""event"":""goal""},{""time"":58,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":68,""event"":""goal""},{""time"":90,""event"":""foul""}]","1.47","48%","11","5","6","1","6","0","13","22","10","1",,
"Nottingham","away","loss","[{""time"":3,""event"":""goal""},{""time"":18,""event"":""foul""},{""time"":51,""event"":""foul""},{""time"":54,""event"":""foul""},{""time"":65,""event"":""goal""}]","1.22","52%","12","3","4","3","9","2","10","16","14","2",,
"Arsenal","home","win","[{""time"":11,""event"":""goal""},{""time"":37,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":94,""event"":""goal""},{""time"":95,""event"":""goal""}]","3.50","61%","22","7","6",,"15","5","14","12","8","5",,
"Crystal Palace","away","loss","[]","0.38","39%","12","5","7",,"7","2","13","12","12","2",,
"Manchester Utd","home","draw","[{""time"":3,""event"":""goal""},{""time"":24,""event"":""foul""},{""time"":40,""event"":""goal""},{""time"":49,""event"":""foul""}]","0.91","36%","9","2","8","2","7","3","9","20","8","4",,
"Tottenham","away","draw","[{""time"":19,""event"":""goal""},{""time"":25,""event"":""foul""},{""time"":46,""event"":""goal""}]","1.46","64%","16","6","13","1","10","4","11","17","5","0",,
"Everton","home","draw","[{""time"":73,""event"":""foul""}]","1.28","31%","10","2","4","1","8","5","15","17","13","5",,
"Aston Villa","away","draw","[{""time"":18,""event"":""foul""},{""time"":31,""event"":""foul""},{""time"":48,""event"":""foul""},{""time"":73,""event"":""foul""},{""time"":75,""event"":""foul""}]","1.02","69%","16","5","5","4","11","1","18","34","14","2",,
"Newcastle","home","loss","[{""time"":2,""event"":""foul""},{""time"":21,""event"":""foul""},{""time"":35,""event"":""goal""},{""time"":37,""event"":""goal""}]","1.15","27%","12","5","3","1","7","8","8","13","7","8",,
"Manchester City","away","win","[{""time"":8,""event"":""foul""},{""time"":26,""event"":""goal""},{""time"":49,""event"":""foul""},{""time"":55,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":91,""event"":""goal""}]","3.27","73%","27","11","13","2","16","1","15","15","7","3",,
"Chelsea","home","win","[{""time"":38,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":58,""event"":""foul""},{""time"":75,""event"":""foul""},{""time"":79,""event"":""foul""},{""time"":79,""event"":""foul""}]","2.39","55%","17","3","6","5","14","4","9","19","13","4",,
"Fulham","away","loss","[{""time"":49,""event"":""foul""}]","0.87","45%","14","4","4","1","10","0","15","25","9","2",,
"Burnley","home","draw","[{""time"":36,""event"":""goal""},{""time"":93,""event"":""foul""}]","0.91","39%","13","7","2","1","6","1","16","24","7","4",,
"Luton","away","draw","[{""time"":92,""event"":""goal""}]","0.72","61%","14","5","8","0","9","4","8","17","12","6",,
"West Ham","home","draw","[{""time"":31,""event"":""foul""}]","0.61","32%","6","2","2","1","4","3","7","18","4","8",,
"Brighton","away","draw","[]","1.48","68%","22","8","0","0","14","1","7","20","6","2",,
"Liverpool","home","win","[{""time"":18,""event"":""foul""},{""time"":22,""event"":""foul""},{""time"":45,""event"":""foul""},{""time"":50,""event"":""foul""},{""time"":49,""event"":""goal""},{""time"":65,""event"":""foul""},{""time"":74,""event"":""goal""},{""time"":78,""event"":""goal""},{""time"":86,""event"":""goal""}]","7.20","62%","34","15","7","3","19","1","18","16","16","1",,
"Newcastle","away","loss","[{""time"":28,""event"":""foul""},{""time"":36,""event"":""foul""},{""time"":47,""event"":""foul""},{""time"":54,""event"":""goal""},{""time"":66,""event"":""foul""},{""time"":81,""event"":""goal""},{""time"":84,""event"":""foul""},{""time"":89,""event"":""foul""}]","0.67","38%","5","3","3","5","2","3","17","14","15","11",,
"Fulham","home","win","[{""time"":29,""event"":""goal""},{""time"":59,""event"":""goal""},{""time"":65,""event"":""foul""},{""time"":77,""event"":""foul""},{""time"":92,""event"":""foul""},{""time"":96,""event"":""foul""}]","1.31","39%","15","4","5","4","11","4","10","10","11","2",,
"Arsenal","away","loss","[{""time"":5,""event"":""goal""},{""time"":86,""event"":""foul""}]","1.63","61%","13","3","4","1","10","0","15","9","10","2",,
